Small-Hydro,Rajasthan,23.85
Bio Power,Rajasthan,125.64
Hydro,Rajasthan,411
Oil & Gas,Rajasthan,1022.83
Coal,Rajasthan,10780
Wind,Rajasthan,5195.82
Nuclear,Rajasthan,1180
,,
Solar,Sikkim,4.68
Small-Hydro,Sikkim,55.11
Bio Power,Sikkim,0
Hydro,Sikkim,2282
Oil & Gas,Sikkim,0
Coal,Sikkim,0
Wind,Sikkim,0
Nuclear,Sikkim,0
,Sikkim,
,,
Solar,Tamil Nadu,7507.73
Small-Hydro,Tamil Nadu,123.05
Bio Power,Tamil Nadu,1043.7
Hydro,Tamil Nadu,2178.2
Oil & Gas,Tamil Nadu,1017.18
Coal,Tamil Nadu,14099
Wind,Tamil Nadu,10458.35
Nuclear,Tamil Nadu,2440
,,
Solar,Telangana,4712.98
Small-Hydro,Telangana,90.87
Bio Power,Telangana,220.37
Hydro,Telangana,2405.6
Oil & Gas,Telangana,0
Coal,Telangana,9442.5
Wind,Telangana,128.1
Nuclear,Telangana,0
,,
Solar,Tripura,18.46
Small-Hydro,Tripura,16.01
Bio Power,Tripura,0
Hydro,Tripura,0
Oil & Gas,Tripura,1067.6
Coal,Tripura,0
Wind,Tripura,0
Nuclear,Tripura,0
,,
Solar,Uttar Pradesh,2832.83
Small-Hydro,Uttar Pradesh,49.1
Bio Power,Uttar Pradesh,2221.64
Hydro,Uttar Pradesh,501.6
Oil & Gas,Uttar Pradesh,1493.14
Coal,Uttar Pradesh,25395
Wind,Uttar Pradesh,0
Nuclear,Uttar Pradesh,440
,,
Solar,Uttarakhand,575.53
Small-Hydro,Uttarakhand,218.82
Bio Power,Uttarakhand,139.74
Hydro,Uttarakhand,4035.35
Oil & Gas,Uttarakhand,664
Coal,Uttarakhand,0
Wind,Uttarakhand,0
Nuclear,Uttarakhand,0
,,
Solar,West Bengal,194.07
Small-Hydro,West Bengal,98.5
Bio Power,West Bengal,343.46
Hydro,West Bengal,1341.2
Oil & Gas,West Bengal,80
Coal,West Bengal,13487
Wind,West Bengal,0
Nuclear,West Bengal,0

